Model Details
Model: MooneyRivlin, Initial Guess: 1,1, Bounds: unbounded, RMSE: 53.433, BIC: 165.128

Predictions
Note2: tesnt2

Note: test2

x,y_original,MooneyRivlin_ypred
0.008780812463025,5.697224413330848,-26.395136883459372
0.0145681325182409,9.4902386117138,-36.91653614284451
0.0199590810491027,9.573432261881416,-41.73775944415479
0.0199590810491027,9.573432261881416,-41.73775944415479
0.0257478801025438,11.514617432459222,-41.50633647538916
0.0321341944389666,15.316875369749663,-34.67649204334384
0.0395217905738513,15.430881482942372,-18.058410952431586
0.0459051469138236,22.9367974758432,3.934031338769728
0.0526804377834746,39.708021100374985,35.12640861385171
0.0584603628475645,52.760180437783696,68.2078276221855
0.0650374679550384,67.67649378820772,113.19428423355839
0.0706058962729244,95.5402041017554,157.4662782907435
0.0773516071780713,149.34800828239034,218.79293710144339
0.0826996647604022,203.13424373890768,273.47706913197635
0.087643955827253,262.4698037862357,328.85954013551327
0.0915766121080654,338.45641885229765,376.2540961388786
0.0953051666338,419.9954397554726,423.94867931337285
0.0974600670479195,471.8805462433448,452.74670687919024
0.0986092486689015,533.0093916387303,468.4754470448206
0.099746598304082,608.9528692565573,484.29719778681465
